"Statistic","Year","Age Group","Sex","UNIT","VALUE"
"Population Estimates (Persons in April)","1959","50 - 54 years","Female","Thousand","73.6"
"Population Estimates (Persons in April)","1959","55 - 59 years","Both sexes","Thousand","142.1"
"Population Estimates (Persons in April)","1959","55 - 59 years","Male","Thousand","71.8"
"Population Estimates (Persons in April)","1959","55 - 59 years","Female","Thousand","70.3"
"Population Estimates (Persons in April)","1959","60 - 64 years","Both sexes","Thousand","125.3"
"Population Estimates (Persons in April)","1959","60 - 64 years","Male","Thousand","61.8"
"Population Estimates (Persons in April)","1959","60 - 64 years","Female","Thousand","63.5"
"Population Estimates (Persons in April)","1959","65 - 69 years","Both sexes","Thousand","105.4"
"Population Estimates (Persons in April)","1959","65 - 69 years","Male","Thousand","52.7"
"Population Estimates (Persons in April)","1959","65 - 69 years","Female","Thousand","52.7"
"Population Estimates (Persons in April)","1959","65 years and over","Both sexes","Thousand","315.2"
"Population Estimates (Persons in April)","1959","65 years and over","Male","Thousand","151.6"
"Population Estimates (Persons in April)","1959","65 years and over","Female","Thousand","163.6"
"Population Estimates (Persons in April)","1959","70 - 74 years","Both sexes","Thousand","92.8"
"Population Estimates (Persons in April)","1959","70 - 74 years","Male","Thousand","44.6"
"Population Estimates (Persons in April)","1959","70 - 74 years","Female","Thousand","48.2"
"Population Estimates (Persons in April)","1959","75 - 79 years","Both sexes","Thousand","64.2"
"Population Estimates (Persons in April)","1959","75 - 79 years","Male","Thousand","30.7"
"Population Estimates (Persons in April)","1959","75 - 79 years","Female","Thousand","33.5"
"Population Estimates (Persons in April)","1959","80 - 84 years","Both sexes","Thousand","35.2"
"Population Estimates (Persons in April)","1959","80 - 84 years","Male","Thousand","16.1"
"Population Estimates (Persons in April)","1959","80 - 84 years","Female","Thousand","19.1"
"Population Estimates (Persons in April)","1959","85 years and over","Both sexes","Thousand","17.6"
"Population Estimates (Persons in April)","1959","85 years and over","Male","Thousand","7.5"
"Population Estimates (Persons in April)","1959","85 years and over","Female","Thousand","10.1"
"Population Estimates (Persons in April)","1959","All ages","Both sexes","Thousand","2845.6"
"Population Estimates (Persons in April)","1959","All ages","Male","Thousand","1434.6"
"Population Estimates (Persons in April)","1959","All ages","Female","Thousand","1411"
"Population Estimates (Persons in April)","1960","Under 1 year","Both sexes","Thousand","59.3"
"Population Estimates (Persons in April)","1960","Under 1 year","Male","Thousand","30.3"
"Population Estimates (Persons in April)","1960","Under 1 year","Female","Thousand","29"
"Population Estimates (Persons in April)","1960","0 - 4 years","Both sexes","Thousand",""
"Population Estimates (Persons in April)","1960","0 - 4 years","Male","Thousand",""
"Population Estimates (Persons in April)","1960","0 - 4 years","Female","Thousand",""
"Population Estimates (Persons in April)","1960","0 - 14 years","Both sexes","Thousand","875.5"
"Population Estimates (Persons in April)","1960","0 - 14 years","Male","Thousand","448.2"
"Population Estimates (Persons in April)","1960","0 - 14 years","Female","Thousand","427.3"
"Population Estimates (Persons in April)","1960","1 - 4 years","Both sexes","Thousand","240.8"
"Population Estimates (Persons in April)","1960","1 - 4 years","Male","Thousand","122.9"
"Population Estimates (Persons in April)","1960","1 - 4 years","Female","Thousand","117.9"
"Population Estimates (Persons in April)","1960","5 - 9 years","Both sexes","Thousand","289.2"
"Population Estimates (Persons in April)","1960","5 - 9 years","Male","Thousand","148.1"
"Population Estimates (Persons in April)","1960","5 - 9 years","Female","Thousand","141.1"
"Population Estimates (Persons in April)","1960","10 - 14 years","Both sexes","Thousand","286.2"
"Population Estimates (Persons in April)","1960","10 - 14 years","Male","Thousand","146.9"
"Population Estimates (Persons in April)","1960","10 - 14 years","Female","Thousand","139.3"
"Population Estimates (Persons in April)","1960","15 - 19 years","Both sexes","Thousand","233.3"
"Population Estimates (Persons in April)","1960","15 - 19 years","Male","Thousand","120.5"
"Population Estimates (Persons in April)","1960","15 - 19 years","Female","Thousand","112.8"
"Population Estimates (Persons in April)","1960","15 - 24 years","Both sexes","Thousand","395.4"
"Population Estimates (Persons in April)","1960","15 - 24 years","Male","Thousand","203.2"
"Population Estimates (Persons in April)","1960","15 - 24 years","Female","Thousand","192.2"
"Population Estimates (Persons in April)","1960","15 years and over","Both sexes","Thousand","1956.6"
"Population Estimates (Persons in April)","1960","15 years and over","Male","Thousand","978.9"
"Population Estimates (Persons in April)","1960","15 years and over","Female","Thousand","977.7"
"Population Estimates (Persons in April)","1960","20 - 24 years","Both sexes","Thousand","162.1"
"Population Estimates (Persons in April)","1960","20 - 24 years","Male","Thousand","82.7"
"Population Estimates (Persons in April)","1960","20 - 24 years","Female","Thousand","79.4"
"Population Estimates (Persons in April)","1960","25 - 29 years","Both sexes","Thousand","150"
"Population Estimates (Persons in April)","1960","25 - 29 years","Male","Thousand","74.6"
"Population Estimates (Persons in April)","1960","25 - 29 years","Female","Thousand","75.4"
"Population Estimates (Persons in April)","1960","25 - 44 years","Both sexes","Thousand","649.7"
"Population Estimates (Persons in April)","1960","25 - 44 years","Male","Thousand","321.9"
"Population Estimates (Persons in April)","1960","25 - 44 years","Female","Thousand","327.8"
"Population Estimates (Persons in April)","1960","30 - 34 years","Both sexes","Thousand","157"
"Population Estimates (Persons in April)","1960","30 - 34 years","Male","Thousand","77.4"
"Population Estimates (Persons in April)","1960","30 - 34 years","Female","Thousand","79.6"
"Population Estimates (Persons in April)","1960","35 - 39 years","Both sexes","Thousand","169.7"
"Population Estimates (Persons in April)","1960","35 - 39 years","Male","Thousand","83.2"
"Population Estimates (Persons in April)","1960","35 - 39 years","Female","Thousand","86.5"
"Population Estimates (Persons in April)","1960","40 - 44 years","Both sexes","Thousand","173"
"Population Estimates (Persons in April)","1960","40 - 44 years","Male","Thousand","86.7"
"Population Estimates (Persons in April)","1960","40 - 44 years","Female","Thousand","86.3"
"Population Estimates (Persons in April)","1960","45 - 49 years","Both sexes","Thousand","174"
"Population Estimates (Persons in April)","1960","45 - 49 years","Male","Thousand","89"
"Population Estimates (Persons in April)","1960","45 - 49 years","Female","Thousand","85"
"Population Estimates (Persons in April)","1960","45 - 64 years","Both sexes","Thousand","596.4"
"Population Estimates (Persons in April)","1960","45 - 64 years","Male","Thousand","303.1"
"Population Estimates (Persons in April)","1960","45 - 64 years","Female","Thousand","293.3"
"Population Estimates (Persons in April)","1960","50 - 54 years","Both sexes","Thousand","155.1"
"Population Estimates (Persons in April)","1960","50 - 54 years","Male","Thousand","80.6"
"Population Estimates (Persons in April)","1960","50 - 54 years","Female","Thousand","74.5"
"Population Estimates (Persons in April)","1960","55 - 59 years","Both sexes","Thousand","139.1"
"Population Estimates (Persons in April)","1960","55 - 59 years","Male","Thousand","70.3"
"Population Estimates (Persons in April)","1960","55 - 59 years","Female","Thousand","68.8"
"Population Estimates (Persons in April)","1960","60 - 64 years","Both sexes","Thousand","128.2"
"Population Estimates (Persons in April)","1960","60 - 64 years","Male","Thousand","63.2"
"Population Estimates (Persons in April)","1960","60 - 64 years","Female","Thousand","65"
"Population Estimates (Persons in April)","1960","65 - 69 years","Both sexes","Thousand","104.4"
"Population Estimates (Persons in April)","1960","65 - 69 years","Male","Thousand","52"
"Population Estimates (Persons in April)","1960","65 - 69 years","Female","Thousand","52.4"
"Population Estimates (Persons in April)","1960","65 years and over","Both sexes","Thousand","315.1"
"Population Estimates (Persons in April)","1960","65 years and over","Male","Thousand","150.7"
"Population Estimates (Persons in April)","1960","65 years and over","Female","Thousand","164.4"
"Population Estimates (Persons in April)","1960","70 - 74 years","Both sexes","Thousand","92.8"
"Population Estimates (Persons in April)","1960","70 - 74 years","Male","Thousand","44.4"
"Population Estimates (Persons in April)","1960","70 - 74 years","Female","Thousand","48.4"
"Population Estimates (Persons in April)","1960","75 - 79 years","Both sexes","Thousand","63.8"
"Population Estimates (Persons in April)","1960","75 - 79 years","Male","Thousand","30.3"
"Population Estimates (Persons in April)","1960","75 - 79 years","Female","Thousand","33.5"
"Population Estimates (Persons in April)","1960","80 - 84 years","Both sexes","Thousand","36.1"
"Population Estimates (Persons in April)","1960","80 - 84 years","Male","Thousand","16.4"
"Population Estimates (Persons in April)","1960","80 - 84 years","Female","Thousand","19.7"
"Population Estimates (Persons in April)","1960","85 years and over","Both sexes","Thousand","18"
"Population Estimates (Persons in April)","1960","85 years and over","Male","Thousand","7.6"
"Population Estimates (Persons in April)","1960","85 years and over","Female","Thousand","10.4"
"Population Estimates (Persons in April)","1960","All ages","Both sexes","Thousand","2832.1"
"Population Estimates (Persons in April)","1960","All ages","Male","Thousand","1427.1"
"Population Estimates (Persons in April)","1960","All ages","Female","Thousand","1405"
"Population Estimates (Persons in April)","1961","Under 1 year","Both sexes","Thousand","62.8"
"Population Estimates (Persons in April)","1961","Under 1 year","Male","Thousand","32.1"
"Population Estimates (Persons in April)","1961","Under 1 year","Female","Thousand","30.6"
"Population Estimates (Persons in April)","1961","0 - 4 years","Both sexes","Thousand","300.8"
"Population Estimates (Persons in April)","1961","0 - 4 years","Male","Thousand","153.4"
"Population Estimates (Persons in April)","1961","0 - 4 years","Female","Thousand","147.4"
"Population Estimates (Persons in April)","1961","0 - 14 years","Both sexes","Thousand","877.3"
"Population Estimates (Persons in April)","1961","0 - 14 years","Male","Thousand","448.7"
"Population Estimates (Persons in April)","1961","0 - 14 years","Female","Thousand","428.5"
"Population Estimates (Persons in April)","1961","1 - 4 years","Both sexes","Thousand","238"
"Population Estimates (Persons in April)","1961","1 - 4 years","Male","Thousand","121.3"
"Population Estimates (Persons in April)","1961","1 - 4 years","Female","Thousand","116.7"
"Population Estimates (Persons in April)","1961","5 - 9 years","Both sexes","Thousand","287.7"
"Population Estimates (Persons in April)","1961","5 - 9 years","Male","Thousand","147"
"Population Estimates (Persons in April)","1961","5 - 9 years","Female","Thousand","140.7"
"Population Estimates (Persons in April)","1961","10 - 14 years","Both sexes","Thousand","288.8"
"Population Estimates (Persons in April)","1961","10 - 14 years","Male","Thousand","148.3"
"Population Estimates (Persons in April)","1961","10 - 14 years","Female","Thousand","140.5"
"Population Estimates (Persons in April)","1961","15 - 19 years","Both sexes","Thousand","233.8"
"Population Estimates (Persons in April)","1961","15 - 19 years","Male","Thousand","120.3"
"Population Estimates (Persons in April)","1961","15 - 19 years","Female","Thousand","113.5"
"Population Estimates (Persons in April)","1961","15 - 24 years","Both sexes","Thousand","391.8"
"Population Estimates (Persons in April)","1961","15 - 24 years","Male","Thousand","200.8"
"Population Estimates (Persons in April)","1961","15 - 24 years","Female","Thousand","191.1"
"Population Estimates (Persons in April)","1961","15 years and over","Both sexes","Thousand","1941.1"
"Population Estimates (Persons in April)","1961","15 years and over","Male","Thousand","967.8"
"Population Estimates (Persons in April)","1961","15 years and over","Female","Thousand","973.3"
"Population Estimates (Persons in April)","1961","20 - 24 years","Both sexes","Thousand","158"
"Population Estimates (Persons in April)","1961","20 - 24 years","Male","Thousand","80.4"
"Population Estimates (Persons in April)","1961","20 - 24 years","Female","Thousand","77.6"
"Population Estimates (Persons in April)","1961","25 - 29 years","Both sexes","Thousand","145.4"
"Population Estimates (Persons in April)","1961","25 - 29 years","Male","Thousand","72.3"
"Population Estimates (Persons in April)","1961","25 - 29 years","Female","Thousand","73.1"
"Population Estimates (Persons in April)","1961","25 - 44 years","Both sexes","Thousand","635.3"
"Population Estimates (Persons in April)","1961","25 - 44 years","Male","Thousand","314"
"Population Estimates (Persons in April)","1961","25 - 44 years","Female","Thousand","321.3"
"Population Estimates (Persons in April)","1961","30 - 34 years","Both sexes","Thousand","152.8"
"Population Estimates (Persons in April)","1961","30 - 34 years","Male","Thousand","75.2"
"Population Estimates (Persons in April)","1961","30 - 34 years","Female","Thousand","77.5"
"Population Estimates (Persons in April)","1961","35 - 39 years","Both sexes","Thousand","166.8"
"Population Estimates (Persons in April)","1961","35 - 39 years","Male","Thousand","81.6"
"Population Estimates (Persons in April)","1961","35 - 39 years","Female","Thousand","85.2"
"Population Estimates (Persons in April)","1961","40 - 44 years","Both sexes","Thousand","170.3"
"Population Estimates (Persons in April)","1961","40 - 44 years","Male","Thousand","84.8"
"Population Estimates (Persons in April)","1961","40 - 44 years","Female","Thousand","85.5"
"Population Estimates (Persons in April)","1961","45 - 49 years","Both sexes","Thousand","174.6"
"Population Estimates (Persons in April)","1961","45 - 49 years","Male","Thousand","89"
"Population Estimates (Persons in April)","1961","45 - 49 years","Female","Thousand","85.6"
"Population Estimates (Persons in April)","1961","45 - 64 years","Both sexes","Thousand","598.9"
"Population Estimates (Persons in April)","1961","45 - 64 years","Male","Thousand","303.8"
"Population Estimates (Persons in April)","1961","45 - 64 years","Female","Thousand","295.2"
"Population Estimates (Persons in April)","1961","50 - 54 years","Both sexes","Thousand","157.1"
"Population Estimates (Persons in April)","1961","50 - 54 years","Male","Thousand","81.7"
"Population Estimates (Persons in April)","1961","50 - 54 years","Female","Thousand","75.4"
"Population Estimates (Persons in April)","1961","55 - 59 years","Both sexes","Thousand","136.1"
"Population Estimates (Persons in April)","1961","55 - 59 years","Male","Thousand","68.6"
"Population Estimates (Persons in April)","1961","55 - 59 years","Female","Thousand","67.5"
"Population Estimates (Persons in April)","1961","60 - 64 years","Both sexes","Thousand","131.1"
"Population Estimates (Persons in April)","1961","60 - 64 years","Male","Thousand","64.4"
"Population Estimates (Persons in April)","1961","60 - 64 years","Female","Thousand","66.6"
"Population Estimates (Persons in April)","1961","65 - 69 years","Both sexes","Thousand","103.5"
"Population Estimates (Persons in April)","1961","65 - 69 years","Male","Thousand","51.1"
"Population Estimates (Persons in April)","1961","65 - 69 years","Female","Thousand","52.3"
"Population Estimates (Persons in April)","1961","65 years and over","Both sexes","Thousand","315.1"
"Population Estimates (Persons in April)","1961","65 years and over","Male","Thousand","149.3"
"Population Estimates (Persons in April)","1961","65 years and over","Female","Thousand","165.8"
"Population Estimates (Persons in April)","1961","70 - 74 years","Both sexes","Thousand","92.8"
"Population Estimates (Persons in April)","1961","70 - 74 years","Male","Thousand","44.1"
"Population Estimates (Persons in April)","1961","70 - 74 years","Female","Thousand","48.7"
"Population Estimates (Persons in April)","1961","75 - 79 years","Both sexes","Thousand","63.2"
"Population Estimates (Persons in April)","1961","75 - 79 years","Male","Thousand","29.7"
"Population Estimates (Persons in April)","1961","75 - 79 years","Female","Thousand","33.5"
"Population Estimates (Persons in April)","1961","80 - 84 years","Both sexes","Thousand","37"
"Population Estimates (Persons in April)","1961","80 - 84 years","Male","Thousand","16.7"
"Population Estimates (Persons in April)","1961","80 - 84 years","Female","Thousand","20.4"
"Population Estimates (Persons in April)","1961","85 years and over","Both sexes","Thousand","18.5"
"Population Estimates (Persons in April)","1961","85 years and over","Male","Thousand","7.7"
"Population Estimates (Persons in April)","1961","85 years and over","Female","Thousand","10.8"
"Population Estimates (Persons in April)","1961","All ages","Both sexes","Thousand","2818.3"
"Population Estimates (Persons in April)","1961","All ages","Male","Thousand","1416.5"
"Population Estimates (Persons in April)","1961","All ages","Female","Thousand","1401.8"
"Population Estimates (Persons in April)","1962","Under 1 year","Both sexes","Thousand","60.5"
"Population Estimates (Persons in April)","1962","Under 1 year","Male","Thousand","30.9"
"Population Estimates (Persons in April)","1962","Under 1 year","Female","Thousand","29.6"
"Population Estimates (Persons in April)","1962","0 - 4 years","Both sexes","Thousand",""
"Population Estimates (Persons in April)","1962","0 - 4 years","Male","Thousand",""
"Population Estimates (Persons in April)","1962","0 - 4 years","Female","Thousand",""
"Population Estimates (Persons in April)","1962","0 - 14 years","Both sexes","Thousand","881.5"
"Population Estimates (Persons in April)","1962","0 - 14 years","Male","Thousand","450.9"
"Population Estimates (Persons in April)","1962","0 - 14 years","Female","Thousand","430.6"
"Population Estimates (Persons in April)","1962","1 - 4 years","Both sexes","Thousand","243.2"
"Population Estimates (Persons in April)","1962","1 - 4 years","Male","Thousand","124.1"
"Population Estimates (Persons in April)","1962","1 - 4 years","Female","Thousand","119.1"
"Population Estimates (Persons in April)","1962","5 - 9 years","Both sexes","Thousand","289.8"
"Population Estimates (Persons in April)","1962","5 - 9 years","Male","Thousand","148.1"
"Population Estimates (Persons in April)","1962","5 - 9 years","Female","Thousand","141.7"
"Population Estimates (Persons in April)","1962","10 - 14 years","Both sexes","Thousand","288"
"Population Estimates (Persons in April)","1962","10 - 14 years","Male","Thousand","147.8"
"Population Estimates (Persons in April)","1962","10 - 14 years","Female","Thousand","140.2"
"Population Estimates (Persons in April)","1962","15 - 19 years","Both sexes","Thousand","238.8"
"Population Estimates (Persons in April)","1962","15 - 19 years","Male","Thousand","122.9"
"Population Estimates (Persons in April)","1962","15 - 19 years","Female","Thousand","115.9"
"Population Estimates (Persons in April)","1962","15 - 24 years","Both sexes","Thousand","402.1"
"Population Estimates (Persons in April)","1962","15 - 24 years","Male","Thousand","206.1"
"Population Estimates (Persons in April)","1962","15 - 24 years","Female","Thousand","196"
"Population Estimates (Persons in April)","1962","15 years and over","Both sexes","Thousand","1948.6"
"Population Estimates (Persons in April)","1962","15 years and over","Male","Thousand","971.9"
"Population Estimates (Persons in April)","1962","15 years and over","Female","Thousand","976.7"
"Population Estimates (Persons in April)","1962","20 - 24 years","Both sexes","Thousand","163.3"
"Population Estimates (Persons in April)","1962","20 - 24 years","Male","Thousand","83.2"
"Population Estimates (Persons in April)","1962","20 - 24 years","Female","Thousand","80.1"
"Population Estimates (Persons in April)","1962","25 - 29 years","Both sexes","Thousand","146.1"
"Population Estimates (Persons in April)","1962","25 - 29 years","Male","Thousand","72.8"
"Population Estimates (Persons in April)","1962","25 - 29 years","Female","Thousand","73.3"
"Population Estimates (Persons in April)","1962","25 - 44 years","Both sexes","Thousand","630.7"
"Population Estimates (Persons in April)","1962","25 - 44 years","Male","Thousand","312.4"
"Population Estimates (Persons in April)","1962","25 - 44 years","Female","Thousand","318.3"
"Population Estimates (Persons in April)","1962","30 - 34 years","Both sexes","Thousand","151.4"
"Population Estimates (Persons in April)","1962","30 - 34 years","Male","Thousand","74.9"
"Population Estimates (Persons in April)","1962","30 - 34 years","Female","Thousand","76.5"
"Population Estimates (Persons in April)","1962","35 - 39 years","Both sexes","Thousand","164.3"
"Population Estimates (Persons in April)","1962","35 - 39 years","Male","Thousand","80.6"
"Population Estimates (Persons in April)","1962","35 - 39 years","Female","Thousand","83.7"
"Population Estimates (Persons in April)","1962","40 - 44 years","Both sexes","Thousand","168.9"
"Population Estimates (Persons in April)","1962","40 - 44 years","Male","Thousand","84.1"
"Population Estimates (Persons in April)","1962","40 - 44 years","Female","Thousand","84.8"
"Population Estimates (Persons in April)","1962","45 - 49 years","Both sexes","Thousand","172.9"
"Population Estimates (Persons in April)","1962","45 - 49 years","Male","Thousand","87.9"
"Population Estimates (Persons in April)","1962","45 - 49 years","Female","Thousand","85"
"Population Estimates (Persons in April)","1962","45 - 64 years","Both sexes","Thousand","599.3"
"Population Estimates (Persons in April)","1962","45 - 64 years","Male","Thousand","304"
"Population Estimates (Persons in April)","1962","45 - 64 years","Female","Thousand","295.3"
"Population Estimates (Persons in April)","1962","50 - 54 years","Both sexes","Thousand","158.6"
"Population Estimates (Persons in April)","1962","50 - 54 years","Male","Thousand","82.2"
"Population Estimates (Persons in April)","1962","50 - 54 years","Female","Thousand","76.4"
"Population Estimates (Persons in April)","1962","55 - 59 years","Both sexes","Thousand","138.2"
"Population Estimates (Persons in April)","1962","55 - 59 years","Male","Thousand","70"
"Population Estimates (Persons in April)","1962","55 - 59 years","Female","Thousand","68.2"
"Population Estimates (Persons in April)","1962","60 - 64 years","Both sexes","Thousand","129.6"
"Population Estimates (Persons in April)","1962","60 - 64 years","Male","Thousand","63.9"
"Population Estimates (Persons in April)","1962","60 - 64 years","Female","Thousand","65.7"
"Population Estimates (Persons in April)","1962","65 - 69 years","Both sexes","Thousand","105.5"
"Population Estimates (Persons in April)","1962","65 - 69 years","Male","Thousand","51.9"
"Population Estimates (Persons in April)","1962","65 - 69 years","Female","Thousand","53.6"
"Population Estimates (Persons in April)","1962","65 years and over","Both sexes","Thousand","316.5"
"Population Estimates (Persons in April)","1962","65 years and over","Male","Thousand","149.4"
"Population Estimates (Persons in April)","1962","65 years and over","Female","Thousand","167.1"
"Population Estimates (Persons in April)","1962","70 - 74 years","Both sexes","Thousand","92.2"
"Population Estimates (Persons in April)","1962","70 - 74 years","Male","Thousand","43.7"
"Population Estimates (Persons in April)","1962","70 - 74 years","Female","Thousand","48.5"
"Population Estimates (Persons in April)","1962","75 - 79 years","Both sexes","Thousand","63.1"
"Population Estimates (Persons in April)","1962","75 - 79 years","Male","Thousand","29.5"
"Population Estimates (Persons in April)","1962","75 - 79 years","Female","Thousand","33.6"
"Population Estimates (Persons in April)","1962","80 - 84 years","Both sexes","Thousand","36.8"
"Population Estimates (Persons in April)","1962","80 - 84 years","Male","Thousand","16.5"
"Population Estimates (Persons in April)","1962","80 - 84 years","Female","Thousand","20.3"
"Population Estimates (Persons in April)","1962","85 years and over","Both sexes","Thousand","18.9"
"Population Estimates (Persons in April)","1962","85 years and over","Male","Thousand","7.8"
"Population Estimates (Persons in April)","1962","85 years and over","Female","Thousand","11.1"
"Population Estimates (Persons in April)","1962","All ages","Both sexes","Thousand","2830.1"
"Population Estimates (Persons in April)","1962","All ages","Male","Thousand","1422.8"
"Population Estimates (Persons in April)","1962","All ages","Female","Thousand","1407.3"
"Population Estimates (Persons in April)","1963","Under 1 year","Both sexes","Thousand","62.1"
"Population Estimates (Persons in April)","1963","Under 1 year","Male","Thousand","31.8"
"Population Estimates (Persons in April)","1963","Under 1 year","Female","Thousand","30.3"
"Population Estimates (Persons in April)","1963","0 - 4 years","Both sexes","Thousand",""
"Population Estimates (Persons in April)","1963","0 - 4 years","Male","Thousand",""
"Population Estimates (Persons in April)","1963","0 - 4 years","Female","Thousand",""
"Population Estimates (Persons in April)","1963","0 - 14 years","Both sexes","Thousand","888.1"
"Population Estimates (Persons in April)","1963","0 - 14 years","Male","Thousand","454"
"Population Estimates (Persons in April)","1963","0 - 14 years","Female","Thousand","434.1"
"Population Estimates (Persons in April)","1963","1 - 4 years","Both sexes","Thousand","245.3"
"Population Estimates (Persons in April)","1963","1 - 4 years","Male","Thousand","125.1"
"Population Estimates (Persons in April)","1963","1 - 4 years","Female","Thousand","120.2"
"Population Estimates (Persons in April)","1963","5 - 9 years","Both sexes","Thousand","292.7"
"Population Estimates (Persons in April)","1963","5 - 9 years","Male","Thousand","149.5"
"Population Estimates (Persons in April)","1963","5 - 9 years","Female","Thousand","143.2"
"Population Estimates (Persons in April)","1963","10 - 14 years","Both sexes","Thousand","288"
"Population Estimates (Persons in April)","1963","10 - 14 years","Male","Thousand","147.6"
"Population Estimates (Persons in April)","1963","10 - 14 years","Female","Thousand","140.4"
"Population Estimates (Persons in April)","1963","15 - 19 years","Both sexes","Thousand","244.3"
"Population Estimates (Persons in April)","1963","15 - 19 years","Male","Thousand","125.7"
"Population Estimates (Persons in April)","1963","15 - 19 years","Female","Thousand","118.6"
"Population Estimates (Persons in April)","1963","15 - 24 years","Both sexes","Thousand","413.5"
"Population Estimates (Persons in April)","1963","15 - 24 years","Male","Thousand","212"
"Population Estimates (Persons in April)","1963","15 - 24 years","Female","Thousand","201.5"
"Population Estimates (Persons in April)","1963","15 years and over","Both sexes","Thousand","1961.9"
"Population Estimates (Persons in April)","1963","15 years and over","Male","Thousand","978.7"
"Population Estimates (Persons in April)","1963","15 years and over","Female","Thousand","983.2"
"Population Estimates (Persons in April)","1963","20 - 24 years","Both sexes","Thousand","169.2"
"Population Estimates (Persons in April)","1963","20 - 24 years","Male","Thousand","86.3"
"Population Estimates (Persons in April)","1963","20 - 24 years","Female","Thousand","82.9"
"Population Estimates (Persons in April)","1963","25 - 29 years","Both sexes","Thousand","147.2"
"Population Estimates (Persons in April)","1963","25 - 29 years","Male","Thousand","73.5"
"Population Estimates (Persons in April)","1963","25 - 29 years","Female","Thousand","73.7"
"Population Estimates (Persons in April)","1963","25 - 44 years","Both sexes","Thousand","627.9"
"Population Estimates (Persons in April)","1963","25 - 44 years","Male","Thousand","311.6"
"Population Estimates (Persons in April)","1963","25 - 44 years","Female","Thousand","316.3"
"Population Estimates (Persons in April)","1963","30 - 34 years","Both sexes","Thousand","150.6"
"Population Estimates (Persons in April)","1963","30 - 34 years","Male","Thousand","74.8"
"Population Estimates (Persons in April)","1963","30 - 34 years","Female","Thousand","75.8"
"Population Estimates (Persons in April)","1963","35 - 39 years","Both sexes","Thousand","162.2"
"Population Estimates (Persons in April)","1963","35 - 39 years","Male","Thousand","79.8"
"Population Estimates (Persons in April)","1963","35 - 39 years","Female","Thousand","82.4"
"Population Estimates (Persons in April)","1963","40 - 44 years","Both sexes","Thousand","167.9"
"Population Estimates (Persons in April)","1963","40 - 44 years","Male","Thousand","83.5"
"Population Estimates (Persons in April)","1963","40 - 44 years","Female","Thousand","84.4"
"Population Estimates (Persons in April)","1963","45 - 49 years","Both sexes","Thousand","171.8"
"Population Estimates (Persons in April)","1963","45 - 49 years","Male","Thousand","87.1"
"Population Estimates (Persons in April)","1963","45 - 49 years","Female","Thousand","84.7"
"Population Estimates (Persons in April)","1963","45 - 64 years","Both sexes","Thousand","601.5"
"Population Estimates (Persons in April)","1963","45 - 64 years","Male","Thousand","305.1"
"Population Estimates (Persons in April)","1963","45 - 64 years","Female","Thousand","296.4"
"Population Estimates (Persons in April)","1963","50 - 54 years","Both sexes","Thousand","160.5"
"Population Estimates (Persons in April)","1963","50 - 54 years","Male","Thousand","82.9"
"Population Estimates (Persons in April)","1963","50 - 54 years","Female","Thousand","77.6"
"Population Estimates (Persons in April)","1963","55 - 59 years","Both sexes","Thousand","140.7"
"Population Estimates (Persons in April)","1963","55 - 59 years","Male","Thousand","71.6"
"Population Estimates (Persons in April)","1963","55 - 59 years","Female","Thousand","69.1"
"Population Estimates (Persons in April)","1963","60 - 64 years","Both sexes","Thousand","128.5"
"Population Estimates (Persons in April)","1963","60 - 64 years","Male","Thousand","63.5"
"Population Estimates (Persons in April)","1963","60 - 64 years","Female","Thousand","65"
"Population Estimates (Persons in April)","1963","65 - 69 years","Both sexes","Thousand","107.9"
"Population Estimates (Persons in April)","1963","65 - 69 years","Male","Thousand","52.8"
"Population Estimates (Persons in April)","1963","65 - 69 years","Female","Thousand","55.1"
"Population Estimates (Persons in April)","1963","65 years and over","Both sexes","Thousand","319"
"Population Estimates (Persons in April)","1963","65 years and over","Male","Thousand","150"
"Population Estimates (Persons in April)","1963","65 years and over","Female","Thousand","169"
"Population Estimates (Persons in April)","1963","70 - 74 years","Both sexes","Thousand","92"
"Population Estimates (Persons in April)","1963","70 - 74 years","Male","Thousand","43.5"
"Population Estimates (Persons in April)","1963","70 - 74 years","Female","Thousand","48.5"
"Population Estimates (Persons in April)","1963","75 - 79 years","Both sexes","Thousand","63.2"
"Population Estimates (Persons in April)","1963","75 - 79 years","Male","Thousand","29.4"
"Population Estimates (Persons in April)","1963","75 - 79 years","Female","Thousand","33.8"
"Population Estimates (Persons in April)","1963","80 - 84 years","Both sexes","Thousand","36.6"
"Population Estimates (Persons in April)","1963","80 - 84 years","Male","Thousand","16.4"
"Population Estimates (Persons in April)","1963","80 - 84 years","Female","Thousand","20.2"
"Population Estimates (Persons in April)","1963","85 years and over","Both sexes","Thousand","19.3"
"Population Estimates (Persons in April)","1963","85 years and over","Male","Thousand","7.9"
"Population Estimates (Persons in April)","1963","85 years and over","Female","Thousand","11.4"
"Population Estimates (Persons in April)","1963","All ages","Both sexes","Thousand","2850"
"Population Estimates (Persons in April)","1963","All ages","Male","Thousand","1432.7"
"Population Estimates (Persons in April)","1963","All ages","Female","Thousand","1417.3"
"Population Estimates (Persons in April)","1964","Under 1 year","Both sexes","Thousand","62.9"
"Population Estimates (Persons in April)","1964","Under 1 year","Male","Thousand","32.1"
"Population Estimates (Persons in April)","1964","Under 1 year","Female","Thousand","30.8"
